rollout,activity,start_month,end_month,start,end
RO-05,"Nominal release, TSSR surveys, site acquisition & permits",10,13,Oct 2027,Jan 2028
RO-05,"Detailed RF / transport design freeze, material call-off",11,13,Nov 2027,Jan 2028
RO-05,"Civil works, power, fiber build to hubs and rings",12,15,Dec 2027,Mar 2028
RO-05,Hub / DU-hotel and router commissioning,14,16,Feb 2028,Apr 2028
RO-05,"Radio install, commissioning, integration to 5GC",15,18,Mar 2028,Jun 2028
RO-05,Single-site verification (SSV),16,18,Apr 2028,Jun 2028
RO-05,Cluster optimisation & acceptance (1 Gbps drive test),17,20,May 2028,Aug 2028
RO-05,Commercial launch of rollout area / hand-over to operations,19,20,Jul 2028,Aug 2028
RO-06,"Nominal release, TSSR surveys, site acquisition & permits",13,16,Jan 2028,Apr 2028
RO-06,"Detailed RF / transport design freeze, material call-off",14,16,Feb 2028,Apr 2028
RO-06,"Civil works, power, fiber build to hubs and rings",15,18,Mar 2028,Jun 2028
RO-06,Hub / DU-hotel and router commissioning,17,19,May 2028,Jul 2028
RO-06,"Radio install, commissioning, integration to 5GC",18,21,Jun 2028,Sep 2028
RO-06,Single-site verification (SSV),19,21,Jul 2028,Sep 2028
RO-06,Cluster optimisation & acceptance (1 Gbps drive test),20,23,Aug 2028,Nov 2028
RO-06,Commercial launch of rollout area / hand-over to operations,22,23,Oct 2028,Nov 2028
RO-07,"Nominal release, TSSR surveys, site acquisition & permits",16,19,Apr 2028,Jul 2028
RO-07,"Detailed RF / transport design freeze, material call-off",17,19,May 2028,Jul 2028
RO-07,"Civil works, power, fiber build to hubs and rings",18,21,Jun 2028,Sep 2028
RO-07,Hub / DU-hotel and router commissioning,20,22,Aug 2028,Oct 2028
RO-07,"Radio install, commissioning, integration to 5GC",21,24,Sep 2028,Dec 2028
RO-07,Single-site verification (SSV),22,24,Oct 2028,Dec 2028
RO-07,Cluster optimisation & acceptance (1 Gbps drive test),23,26,Nov 2028,Feb 2029
RO-07,Commercial launch of rollout area / hand-over to operations,25,26,Jan 2029,Feb 2029
RO-08,"Nominal release, TSSR surveys, site acquisition & permits",19,22,Jul 2028,Oct 2028
RO-08,"Detailed RF / transport design freeze, material call-off",20,22,Aug 2028,Oct 2028
RO-08,"Civil works, power, fiber build to hubs and rings",21,24,Sep 2028,Dec 2028
RO-08,Hub / DU-hotel and router commissioning,23,25,Nov 2028,Jan 2029
RO-08,"Radio install, commissioning, integration to 5GC",24,27,Dec 2028,Mar 2029
RO-08,Single-site verification (SSV),25,27,Jan 2029,Mar 2029
RO-08,Cluster optimisation & acceptance (1 Gbps drive test),26,29,Feb 2029,May 2029
RO-08,Commercial launch of rollout area / hand-over to operations,28,29,Apr 2029,May 2029
RO-09,"Nominal release, TSSR surveys, site acquisition & permits",22,25,Oct 2028,Jan 2029
RO-09,"Detailed RF / transport design freeze, material call-off",23,25,Nov 2028,Jan 2029
RO-09,"Civil works, power, fiber build to hubs and rings",24,27,Dec 2028,Mar 2029
RO-09,Hub / DU-hotel and router commissioning,26,28,Feb 2029,Apr 2029
RO-09,"Radio install, commissioning, integration to 5GC",27,30,Mar 2029,Jun 2029
RO-09,Single-site verification (SSV),28,30,Apr 2029,Jun 2029
RO-09,Cluster optimisation & acceptance (1 Gbps drive test),29,32,May 2029,Aug 2029
RO-09,Commercial launch of rollout area / hand-over to operations,31,32,Jul 2029,Aug 2029
RO-10,"Nominal release, TSSR surveys, site acquisition & permits",25,28,Jan 2029,Apr 2029
RO-10,"Detailed RF / transport design freeze, material call-off",26,28,Feb 2029,Apr 2029
RO-10,"Civil works, power, fiber build to hubs and rings",27,30,Mar 2029,Jun 2029
RO-10,Hub / DU-hotel and router commissioning,29,31,May 2029,Jul 2029
RO-10,"Radio install, commissioning, integration to 5GC",30,33,Jun 2029,Sep 2029
RO-10,Single-site verification (SSV),31,33,Jul 2029,Sep 2029
RO-10,Cluster optimisation & acceptance (1 Gbps drive test),32,35,Aug 2029,Nov 2029
RO-10,Commercial launch of rollout area / hand-over to operations,34,35,Oct 2029,Nov 2029
